GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
staymate,com.example.staymate.observer,NotificationObserver,9,6,0,0,2,3,1,1,1,1
staymate,com.example.staymate.observer,EmailObserver,27,6,4,0,6,3,3,1,1,1
staymate,com.example.staymate.entity.hotel,Hotel,0,80,0,0,0,34,0,23,0,23
staymate,com.example.staymate.entity.payment,Payment,52,45,8,0,15,19,7,13,3,13
staymate,com.example.staymate.service,EmailService,77,3,0,0,22,1,3,1,3,1
staymate,com.example.staymate.service,ReviewService,32,65,7,7,5,17,8,8,1,8
staymate,com.example.staymate.service,BookmarkService,49,12,0,0,8,5,5,1,5,1
staymate,com.example.staymate.service,RoomService,38,96,0,4,5,18,6,6,6,4
staymate,com.example.staymate.service,HotelService,99,48,3,1,16,12,7,7,5,7
staymate,com.example.staymate.service,PaymentService,131,189,18,12,28,51,19,12,5,10
staymate,com.example.staymate.service,UserService,105,264,24,26,23,65,23,22,4,16
staymate,com.example.staymate.service,BookingService,95,132,8,4,24,38,9,10,4,9
staymate,com.example.staymate.service,NotificationService,6,42,0,2,1,10,1,6,1,5
staymate,com.example.staymate.entity.room,RoomId,19,54,5,5,4,10,9,4,4,4
staymate,com.example.staymate.entity.room,SuiteRoom,11,0,0,0,4,0,2,0,2,0
staymate,com.example.staymate.entity.room,SingleRoom,3,8,0,0,2,2,1,1,1,1
staymate,com.example.staymate.entity.room,DeluxeRoom,11,0,0,0,4,0,2,0,2,0
staymate,com.example.staymate.entity.room,Room,41,70,2,2,15,24,9,10,7,9
staymate,com.example.staymate.entity.room,DoubleRoom,11,0,0,0,4,0,2,0,2,0
staymate,com.example.staymate.strategy.payment,PaypalPaymentStrategy,15,0,2,0,5,0,3,0,2,0
staymate,com.example.staymate.strategy.payment,CreditCardPaymentStrategy,2,13,1,1,1,4,1,2,0,2
staymate,com.example.staymate.strategy.payment,PaymentContext,5,15,1,1,1,5,1,3,0,3
staymate,com.example.staymate.strategy.payment,StripePaymentStrategy,15,0,2,0,5,0,3,0,2,0
staymate,com.example.staymate.entity.bookmark,BookmarkId,69,0,8,0,16,0,12,0,8,0
staymate,com.example.staymate.entity.bookmark,Bookmark,26,0,0,0,11,0,6,0,6,0
staymate,com.example.staymate.entity.booking,Booking,3,56,0,0,1,24,1,16,1,16
staymate,com.example.staymate.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
staymate,com.example.staymate.exception,RoomAlreadyBookedException,0,4,0,0,0,2,0,1,0,1
staymate,com.example.staymate.exception,InvalidUserException,0,4,0,0,0,2,0,1,0,1
staymate,com.example.staymate.exception,RoomNotFoundException,4,0,0,0,2,0,1,0,1,0
staymate,com.example.staymate.entity.notification,Notification,0,45,0,0,0,19,0,13,0,13
staymate,com.example.staymate.entity.user,User,28,80,2,0,11,33,3,22,2,22
staymate,com.example.db_init,DatabaseScriptExecutor,121,0,10,0,31,0,7,0,2,0
staymate,com.example.db_init,DatabaseInitializationException,5,0,0,0,2,0,1,0,1,0
staymate,com.example.db_init,DatabaseConnectionManager,47,0,0,0,11,0,2,0,2,0
staymate,com.example.db_init,DatabaseScriptRunner,20,0,0,0,9,0,2,0,2,0
staymate,com.example.staymate.entity.Review,Review,6,39,0,0,2,17,2,11,2,11
staymate,com.example.staymate.entity.state.roomstate,UnderMaintenanceState,18,0,0,0,4,0,4,0,4,0
staymate,com.example.staymate.entity.state.roomstate,BookedState,14,3,0,0,4,1,3,1,3,1
staymate,com.example.staymate.entity.state.roomstate,AvailableState,9,7,0,0,3,3,2,2,2,2
staymate,com.example.staymate.controller,BookingController,33,258,2,12,8,60,2,12,1,6
staymate,com.example.staymate.controller,ReviewController,412,31,16,0,110,10,15,2,7,2
staymate,com.example.staymate.controller,HotelController,153,357,14,14,33,85,12,11,1,8
staymate,com.example.staymate.controller,UserController,65,236,6,6,17,52,6,9,1,8
staymate,com.example.staymate.controller,PaymentController,80,174,1,7,21,38,3,7,2,4
staymate,com.example.staymate.controller,BookmarkController,0,41,0,2,0,10,0,5,0,4
staymate,com.example.staymate.controller,NotificationController,0,190,0,10,0,48,0,12,0,7
staymate,com.example.staymate.controller,RoomController,49,19,9,1,13,6,7,2,2,2
staymate,com.example.staymate.factory,RoomFactory,26,14,3,1,4,2,4,1,1,1
staymate,com.example.staymate.entity.enums,UserRole,0,15,0,0,0,3,0,1,0,1
staymate,com.example.staymate.entity.enums,PaymentMethod,0,21,0,0,0,4,0,1,0,1
staymate,com.example.staymate.entity.enums,PaymentStatus,0,21,0,0,0,4,0,1,0,1
staymate,com.example.staymate.entity.enums,RoomType,0,27,0,0,0,5,0,1,0,1
staymate,com.example.staymate.entity.enums,BookingStatus,0,21,0,0,0,4,0,1,0,1
staymate,com.example.staymate.entity.enums,NotificationType,0,21,0,0,0,4,0,1,0,1
staymate,com.example.staymate.entity.enums,RoomStatus,0,21,0,0,0,4,0,1,0,1
